Demonstrativo Parcelas Pagas - Por Grupo
IBGE;Nome do Grupo;Piso;Prefeitura/Governo/Fundo;CNPJ;Parcela;Canal;Data da Ordem;Nº da Ordem Bancária;Agência/Conta;Valor Bruto;Valor Desconto;Valor Bloqueio/ Suspensão;Valor Líquido
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - JORNADA URBANA;PREFEITURA;18.715.383/0001-40;01/2006;MUNICIPAL;22/02/2006;000308;016152/000000067490;9.000,0;0,0;0,0;9.000,0
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - JORNADA URBANA;PREFEITURA;18.715.383/0001-40;02/2006;MUNICIPAL;17/03/2006;000906;016152/000000067490;9.000,0;0,0;0,0;9.000,0
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - JORNADA URBANA;PREFEITURA;18.715.383/0001-40;03/2006;MUNICIPAL;07/04/2006;001677;016152/000000067490;9.000,0;0,0;0,0;9.000,0
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - JORNADA URBANA;PREFEITURA;18.715.383/0001-40;04/2006;MUNICIPAL;05/05/2006;001942;016152/000000067490;9.000,0;0,0;0,0;9.000,0
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - JORNADA URBANA;PREFEITURA;18.715.383/0001-40;05/2006;MUNICIPAL;06/06/2006;002455;016152/000000067490;9.000,0;0,0;0,0;9.000,0
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - JORNADA URBANA;PREFEITURA;18.715.383/0001-40;06/2006;MUNICIPAL;30/06/2006;002788;016152/000000067490;9.680,0;0,0;0,0;9.680,0
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - JORNADA URBANA;PREFEITURA;18.715.383/0001-40;06/2006;MUNICIPAL;26/07/2006;003260;016152/000000067490;6.990,0;0,0;0,0;6.990,0
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - JORNADA URBANA;PREFEITURA;18.715.383/0001-40;07/2006;MUNICIPAL;16/08/2006;003561;016152/000000067490;17.440,0;0,0;0,0;17.440,0
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - JORNADA URBANA;PREFEITURA;18.715.383/0001-40;07/2006;MUNICIPAL;21/09/2006;004394;016152/000000067490;280,0;0,0;0,0;280,0
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - JORNADA URBANA;PREFEITURA;18.715.383/0001-40;08/2006;MUNICIPAL;09/10/2006;004935;016152/000000067490;960,0;0,0;0,0;960,0
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - JORNADA URBANA;PREFEITURA;18.715.383/0001-40;08/2006;MUNICIPAL;14/09/2006;004116;016152/000000067490;16.080,0;0,0;0,0;16.080,0
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - JORNADA URBANA;PREFEITURA;18.715.383/0001-40;09/2006;MUNICIPAL;11/10/2006;005165;016152/000000067490;15.720,0;0,0;0,0;15.720,0
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - JORNADA URBANA;PREFEITURA;18.715.383/0001-40;09/2006;MUNICIPAL;16/11/2006;005772;016152/000000067490;1.140,0;0,0;0,0;1.140,0
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - JORNADA URBANA;PREFEITURA;18.715.383/0001-40;10/2006;MUNICIPAL;07/11/2006;005461;016152/000000067490;15.720,0;0,0;0,0;15.720,0
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - JORNADA URBANA;PREFEITURA;18.715.383/0001-40;11/2006;MUNICIPAL;14/12/2006;006244;016152/000000067490;17.200,0;0,0;0,0;17.200,0
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - BOLSA URBANA;PREFEITURA;18.715.383/0001-40;01/2006;MUNICIPAL;03/03/2006;000433;016152/000000067512;34.600,0;0,0;0,0;34.600,0
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - BOLSA URBANA;PREFEITURA;18.715.383/0001-40;02/2006;MUNICIPAL;16/03/2006;000872;016152/000000067512;34.640,0;0,0;0,0;34.640,0
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - BOLSA URBANA;PREFEITURA;18.715.383/0001-40;03/2006;MUNICIPAL;07/04/2006;001696;016152/000000067512;34.680,0;0,0;0,0;34.680,0
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - BOLSA URBANA;PREFEITURA;18.715.383/0001-40;04/2006;MUNICIPAL;05/05/2006;001812;016152/000000067512;34.720,0;0,0;0,0;34.720,0
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - BOLSA URBANA;PREFEITURA;18.715.383/0001-40;05/2006;MUNICIPAL;06/06/2006;002638;016152/000000067512;34.760,0;0,0;0,0;34.760,0
310620;PSE;PSE MC ERRADICACAO DO TRABALHO INFANTIL - BOLSA URBANA;PREFEITURA;18.715.383/0001-40;06/2006;MUNICIPAL;11/07/2006;003156;016152/000000067512;5.320,0;0,0;0,0;5.320,0
